RUN	linebot.LineBotSimulation	linebotsimulation	1593580628513	 	3.3.1
REQUEST	63		who are you	1593580643119	1593580643120	OK	 
REQUEST	63		parrot	1593580643122	1593580643123	OK	 
REQUEST	63		send location	1593580643125	1593580643127	OK	 
REQUEST	63		send postback	1593580643128	1593580643131	OK	 
USER	All Check	63	END	1593580643113	1593580643132
USER	All Check	64	START	1593580643172	1593580643172
REQUEST	64		healthy	1593580643172	1593580643175	OK	 
REQUEST	64		who are you	1593580643176	1593580643178	OK	 
REQUEST	64		parrot	1593580643179	1593580643181	OK	 
REQUEST	64		send location	1593580643183	1593580643186	OK	 
REQUEST	64		send postback	1593580643187	1593580643190	OK	 
USER	All Check	64	END	1593580643172	1593580643191
USER	All Check	65	START	1593580643243	1593580643243
REQUEST	65		healthy	1593580643243	1593580643246	OK	 
REQUEST	65		who are you	1593580643247	1593580643249	OK	 
REQUEST	65		parrot	1593580643250	1593580643252	OK	 
REQUEST	65		send location	1593580643254	1593580643256	OK	 
REQUEST	65		send postback	1593580643257	1593580643259	OK	 
USER	All Check	65	END	1593580643243	1593580643260
USER	All Check	66	START	1593580643302	1593580643302
REQUEST	66		healthy	1593580643303	1593580643306	OK	 
REQUEST	66		who are you	1593580643306	1593580643308	OK	 
REQUEST	66		parrot	1593580643309	1593580643311	OK	 
REQUEST	66		send location	1593580643312	1593580643314	OK	 
REQUEST	66		send postback	1593580643315	1593580643316	OK	 
USER	All Check	66	END	1593580643302	1593580643317
USER	All Check	67	START	1593580643361	1593580643361
REQUEST	67		healthy	1593580643362	1593580643364	OK	 
REQUEST	67		who are you	1593580643365	1593580643367	OK	 
REQUEST	67		parrot	1593580643369	1593580643371	OK	 
REQUEST	67		send location	1593580643374	1593580643376	OK	 
REQUEST	67		send postback	1593580643377	1593580643379	OK	 
USER	All Check	67	END	1593580643361	1593580643380
USER	All Check	68	START	1593580643421	1593580643421
REQUEST	68		healthy	1593580643422	1593580643424	OK	 
REQUEST	68		who are you	1593580643425	1593580643427	OK	 
REQUEST	68		parrot	1593580643428	1593580643430	OK	 
REQUEST	68		send location	1593580643431	1593580643433	OK	 
REQUEST	68		send postback	1593580643435	1593580643437	OK	 
USER	All Check	68	END	1593580643421	1593580643437
USER	All Check	69	START	1593580643482	1593580643482
REQUEST	69		healthy	1593580643483	1593580643485	OK	 
REQUEST	69		who are you	1593580643487	1593580643489	OK	 
REQUEST	69		parrot	1593580643490	1593580643492	OK	 
REQUEST	69		send location	1593580643493	1593580643494	OK	 
REQUEST	69		send postback	1593580643495	1593580643497	OK	 
USER	All Check	69	END	1593580643482	1593580643498
USER	All Check	70	START	1593580643542	1593580643542
REQUEST	70		healthy	1593580643543	1593580643546	OK	 
REQUEST	70		who are you	1593580643547	1593580643549	OK	 
REQUEST	70		parrot	1593580643558	1593580643560	OK	 
REQUEST	70		send location	1593580643561	1593580643563	OK	 
REQUEST	70		send postback	1593580643564	1593580643566	OK	 
USER	All Check	70	END	1593580643542	1593580643567
USER	All Check	71	START	1593580643602	1593580643602
REQUEST	71		healthy	1593580643603	1593580643606	OK	 
REQUEST	71		who are you	1593580643607	1593580643609	OK	 
REQUEST	71		parrot	1593580643611	1593580643613	OK	 
REQUEST	71		send location	1593580643614	1593580643617	OK	 
REQUEST	71		send postback	1593580643618	1593580643621	OK	 
